Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,2570.000000,2650.000000,1970.000000,2110.000000,1879.830444,117027900
2017-06-01,2110.000000,2250.000000,1995.000000,1995.000000,1777.375244,47632400
2017-07-01,2010.000000,2290.000000,1970.000000,2200.000000,1960.012695,67019000
2017-08-01,2250.000000,2510.000000,2240.000000,2320.000000,2066.922607,114328600
2017-09-01,2320.000000,2400.000000,2080.000000,2140.000000,1906.557861,65007600
2017-10-01,2140.000000,2460.000000,2090.000000,2350.000000,2093.649902,59059700
2017-11-01,2350.000000,2400.000000,2020.000000,2040.000000,1817.466431,38446000
2017-12-01,2040.000000,2200.000000,1970.000000,2050.000000,1826.375488,28915400
2018-01-01,2050.000000,3590.000000,2020.000000,3300.000000,2940.019287,247819300
2018-02-01,3250.000000,3550.000000,2980.000000,3400.000000,3029.110596,103840700
2018-03-01,3400.000000,3500.000000,2530.000000,2720.000000,2423.288330,139726900
2018-04-01,2760.000000,3060.000000,2500.000000,2560.000000,2280.742188,58294500
2018-05-01,2560.000000,3310.000000,2230.000000,3230.000000,2877.655273,100951700
2018-06-01,3230.000000,3230.000000,2350.000000,2480.000000,2209.468994,43017100
2018-07-01,2480.000000,3210.000000,2300.000000,2900.000000,2799.068848,83542000
2018-08-01,2810.000000,2960.000000,2460.000000,2560.000000,2470.902100,55511700
2018-09-01,2550.000000,2590.000000,2280.000000,2400.000000,2316.470703,36014200
2018-10-01,2400.000000,2600.000000,1920.000000,1960.000000,1891.784424,60995300
2018-11-01,1970.000000,2060.000000,1365.000000,1365.000000,1317.492798,76582500
2018-12-01,1415.000000,1585.000000,1390.000000,1400.000000,1351.274658,69295100
2019-01-01,1400.000000,1880.000000,1400.000000,1750.000000,1689.093140,170600200
2019-02-01,1750.000000,1760.000000,1425.000000,1465.000000,1414.012329,117959700
2019-03-01,1475.000000,1585.000000,1420.000000,1430.000000,1380.230469,45002700
2019-04-01,1420.000000,1425.000000,1255.000000,1340.000000,1293.362793,56366400
2019-05-01,1340.000000,1450.000000,1195.000000,1435.000000,1385.056519,88784200
2019-06-01,1435.000000,1695.000000,1320.000000,1490.000000,1478.713135,66229900
2019-07-01,1510.000000,1550.000000,1270.000000,1325.000000,1314.963013,37996000
2019-08-01,1325.000000,1465.000000,1205.000000,1410.000000,1399.319092,51386200
2019-09-01,1415.000000,1520.000000,1325.000000,1340.000000,1329.849365,32056200
2019-10-01,1350.000000,1370.000000,1225.000000,1350.000000,1339.773682,16048200
2019-11-01,1350.000000,1400.000000,1280.000000,1315.000000,1305.038696,14684600
2019-12-01,1325.000000,1355.000000,1285.000000,1320.000000,1310.000854,24131900
2020-01-01,1320.000000,1385.000000,1300.000000,1335.000000,1324.887207,20291000
2020-02-01,1320.000000,1325.000000,1080.000000,1175.000000,1166.099243,13859800
2020-03-01,1175.000000,1330.000000,1065.000000,1320.000000,1310.000854,32294600
2020-04-01,1320.000000,1385.000000,1245.000000,1255.000000,1245.493286,8109400
2020-05-01,1255.000000,1300.000000,1200.000000,1215.000000,1205.796265,1677400
2020-06-01,1215.000000,1365.000000,1170.000000,1190.000000,1180.985596,5872100
2020-07-01,1195.000000,1290.000000,1170.000000,1180.000000,1171.061401,18994300
2020-08-01,1200.000000,1635.000000,1160.000000,1520.000000,1508.485840,64241800
2020-09-01,1510.000000,1705.000000,1435.000000,1570.000000,1558.107056,74897100
2020-10-01,1570.000000,2220.000000,1515.000000,2180.000000,2163.486328,127575300
2020-11-01,2140.000000,2860.000000,2110.000000,2780.000000,2758.941162,135681100
2020-12-01,2850.000000,3410.000000,2670.000000,2980.000000,2957.426270,227460500
2021-01-01,2980.000000,5600.000000,2890.000000,4860.000000,4823.185059,261280300
2021-02-01,4850.000000,7675.000000,4730.000000,6400.000000,6351.519531,325929900
2021-03-01,6450.000000,6500.000000,4650.000000,4880.000000,4843.033691,197763500
2021-04-01,4920.000000,5725.000000,4810.000000,5150.000000,5110.988281,85525000
2021-05-01,5175.000000,6150.000000,4830.000000,5125.000000,5086.177734,127600200
2021-06-01,5275.000000,5575.000000,4860.000000,5075.000000,5036.556152,77548600
2021-07-01,5100.000000,6200.000000,4990.000000,5750.000000,5750.000000,89257700
2021-08-01,5750.000000,5875.000000,4700.000000,4850.000000,4850.000000,57982300
2021-09-01,4880.000000,9575.000000,4840.000000,9300.000000,9300.000000,302539600
2021-10-01,9400.000000,9575.000000,7325.000000,7625.000000,7625.000000,213947900
2021-11-01,7625.000000,10200.000000,7400.000000,9200.000000,9200.000000,271488200
2021-12-01,9200.000000,11225.000000,9075.000000,10325.000000,10325.000000,368152300
2022-01-01,10325.000000,11850.000000,9600.000000,10625.000000,10625.000000,322975000
2022-02-01,10650.000000,12750.000000,9750.000000,12275.000000,12275.000000,230822600
2022-03-01,12400.000000,14750.000000,10150.000000,10700.000000,10700.000000,333751500
2022-04-01,10800.000000,13950.000000,10475.000000,13600.000000,13600.000000,197812700
